,fecha,prices_bitcoin,market_caps_bitcoin,total_volumes_bitcoin,prices_ethereum,market_caps_ethereum,total_volumes_ethereum,prices_binancecoin,market_caps_binancecoin,total_volumes_binancecoin,prices_cardano,market_caps_cardano,total_volumes_cardano,prices_dogecoin,market_caps_dogecoin,total_volumes_dogecoin,prices_solana,market_caps_solana,total_volumes_solana,prices_polkadot,market_caps_polkadot,total_volumes_polkadot,prices_matic-network,market_caps_matic-network,total_volumes_matic-network,prices_litecoin,market_caps_litecoin,total_volumes_litecoin,prices_ripple,market_caps_ripple,total_volumes_ripple
17,2020-01-18,8906.903,161823609428.34625,36801813631.51236,174.238,19138755594.52358,15808136411.02366,17.78,2733334308.82279,260499762.30293602,0.045,1398527687.6359637,156488786.0786448,0.002,307116384.3177905,91648033.56327601,,,,,,,0.017,44610905.40869991,31204686.30572917,59.32,3789824144.068176,3991694641.882566,0.242,10570157519.33709,2424579070.6483755
18,2020-01-19,8690.381,157906057309.30655,39242297095.94223,166.627,18220366702.244606,14003433869.000366,17.355,2662443492.9893026,247057878.98885408,0.042,1324878584.1799922,140637820.3793592,0.002,295309242.2699767,87205354.75027466,,,,,,,0.016,41810647.11725848,26379044.755110078,57.635,3682900550.20762,3313263623.92992,0.236,10284998478.072683,2271192817.467
19,2020-01-20,8631.254,156848009983.54858,29527689342.88548,166.939,18243871990.6739,10983216126.222286,17.332,2658043749.5532937,263222093.53699622,0.043,1347506112.4317157,122312691.01675929,0.002,294045586.6172205,73125411.42149109,,,,,,,0.017,42870541.86605427,18230903.31826403,57.117,3649924255.5762477,2588154597.32632,0.233,10166649872.106089,1732824923.0854318
20,2020-01-21,8724.819,158564958350.98007,27057681779.746685,169.28,18460475135.804626,8267420452.9121065,18.106,2775403908.1440234,282373775.61762744,0.046,1415740558.2396002,144630468.9155506,0.002,292003032.95144904,67442647.37519659,,,,,,,0.017,43743073.2884867,22560137.904926546,57.613,3671276930.9571924,2662236964.14792,0.237,10331513194.577929,1689519338.779692
21,2020-01-22,8665.437,157502652064.02246,25628542094.50134,167.827,18358377435.95901,8809189828.884594,17.785,2727795013.688821,221221906.91524404,0.045,1410211923.8868139,106449100.50429538,0.002,291194286.0861457,68481208.43920273,,,,,,,0.017,43316561.90108072,13414486.948179707,58.19,3719224079.411516,2571549989.9177,0.235,10259917352.455172,1517848018.8288903
22,2020-01-23,8415.956,152984928858.5764,30696020541.207973,162.519,17722969842.693172,9017537604.34573,16.981,2605306661.6892314,213945091.06471282,0.043,1348529123.6392128,110069027.1245324,0.002,277076163.52581805,70446234.76942727,,,,,,,0.016,40575187.77166181,15855779.759442955,54.264,3461934952.4806924,2614446138.6044574,0.227,9883783791.647701,1588344751.2599707
23,2020-01-24,8432.097,153294353936.51035,30691734305.128674,162.409,17777723072.283943,11043498594.604164,17.026,2614002412.698689,225882782.21239612,0.044,1382573985.2793734,114891800.48768374,0.002,279603078.3399694,67906669.73371239,,,,,,,0.016,41302367.598349854,14165636.60871185,54.367,3475618916.486599,2966929135.576305,0.223,9719772858.770794,1700488421.523553
24,2020-01-25,8348.666,151794495723.25214,26582198966.298725,160.674,17587666193.195988,8673816085.484137,16.944,2604451767.4990172,205048618.44829246,0.044,1359196362.9106963,88735590.60746145,0.002,276253328.58337873,63624027.58255218,,,,,,,0.016,40978710.86870121,11685341.26238482,53.519,3424646440.374553,2140240073.6413903,0.221,9638438751.03141,1378215639.489156
25,2020-01-26,8595.728,156302144661.30927,30241155463.270596,167.647,18279197138.315884,10518901915.39258,17.437,2674086712.651739,243479316.87407124,0.044,1381689961.284705,98582263.15621679,0.002,282730605.071507,57079680.62868142,,,,,,,0.016,42113887.1059709,10747137.863297159,56.137,3589659592.857473,2691276421.5659485,0.229,10020588305.88766,1612338569.6517098
26,2020-01-27,8879.336,161473602737.4275,39661537339.92209,169.736,18576520021.386745,12435457692.695446,17.635,2698791730.431113,230946817.91046128,0.047,1467722927.7963097,140901190.79711726,0.002,291169771.48012865,71267011.27385685,,,,,,,0.017,43018843.83478418,19625864.45753112,58.473,3739446628.8695583,2820515140.848382,0.23,10066088697.599735,1806433337.1744275
